title,target_genre,text_sample,,,,,,,,,,,,
2001,Science Fiction,"A novel that proposes an idea about how the human race might have begun and where it might be headed...given a little help from out there. A colaboration of ideas with director Stanley Kubrick in the late 1960's it begins at ""the dawn of man"" and then leaps to the year 2001 where a mission to Saturn (Jupiter in the film) is mounted to try and answer questions raised by the discovery of an ancient artifact dug up on the moon. Though not particularly fast paced, the science is good, and there are a few hair raising events. There are also interesting speculations about the future, such as the space shuttle, and a device eerily similar to an iPad. Leaving plenty of room for contemplation and the appreciation for the inevitable trials of space travel, this is one of the truly landmark pieces of hard science fiction.",,,,,,,,,,,,
De la terre à la lune,Science Fiction,"Novela grafica Mientras la guerra federal asolaba el territorio de los Estados Unidos, se fundo en la ciudad de Baltimore una nueva sociedad que muy pronto adquirió bastante influencia. Pendant la guerre fédérale des États-Unis, un nouveau club très- influent s'établit dans la ville de Baltimore, en plein Maryland. Durante la guerra de Secesión de los Estados Unidos, se estableció en Baltimore, ciudad del Estado de Maryland, una nueva sociedad de mucha influencia. Durante la Guerra de Secesión de los Estados Unidos, un nuevo club muy influyente se estableció en la ciudad de Baltimore, en pleno Maryland.",,,,,,,,,,,,
The book of the damned,Science Fiction,"The Book of the Damned was the first published nonfiction work of the author Charles Fort (first edition 1919). Dealing with various types of anomalous phenomena including UFOs, strange falls of both organic and inorganic materials from the sky, odd weather patterns, the possible existence of creatures generally held to be mythological, disappearances of people under strange circumstances, and many other phenomena, the book is historically considered to be the first written in the specific field of anomalistics. A PROCESSION of the damned.",,,,,,,,,,,,
The First Men in the Moon,Science Fiction,"When penniless businessman Mr Bedford retreats to the Kent coast to write a play, he meets by chance the brilliant Dr Cavor, an absent-minded scientist on the brink of developing a material that blocks gravity. Cavor soon succeeds in his experiments, only to tell a stunned Bedford the invention makes possible one of the oldest dreams of humanity: a journey to the moon. With Bedford motivated by money, and Cavor by the desire for knowledge, the two embark on the expedition. But neither are prepared for what they find - a world of freezing nights, boiling days and sinister alien life, on which they may be trapped forever.",,,,,,,,,,,,
The food of the gods and how it came to earth,Science Fiction,"The Food of the Gods and How It Came to Earth is a science fiction novel by H. G. Wells that was first published in 1904. Wells called it ""a fantasia on the change of scale in human affairs. . . . I had hit upon [the idea] while working out the possibilities of the near future in a book of speculations called Anticipations (1901)"".

The novel, which has had various B-movie adaptations, is about a group of scientists that invents food that accelerates the growth of children and turns them into giants when they become adults.",,,,,,,,,,,,
The Martian Chronicles,Science Fiction,"This is a collection of science fiction short stories, cleverly cobbled together to form a coherent and very readable novel about a future colonization of Mars. As the stories progress chronologically the author tells how the first humans colonized Mars, initially sharing the planet with a handful of Martians. When Earth is devastated by nuclear war the colony is left to fend for itself and the colonists determine to build a new Earth on Mars. One minute it was Ohio winter, with doors closed, windows locked, the panes blind with frost, icicles fringing every roof, children skiing on slopes, housewives lumbering like great black bears in their furs along the icy streets.",,,,,,,,,,,,
A Modern Utopia,Science Fiction,"Imagine a life without worries. You live in a perfect environment untouched by pollution. You have a job to do and play an important role in society. The politicians are watching out for your best interest. And, you get along with your neighbors. Wells' utopia may not only be unattainable, it may be detrimental to humanity's progress. Decide for yourself as you read this classic quest for social equality in the modern era. The Utopia of a modern dreamer must needs differ in one fundamental aspect from the Nowheres and Utopias men planned before Darwin quickened the thought of the world.",,,,,,,,,,,,
Dune,Science Fiction,"Set on the desert planet Arrakis, Dune is the story of the boy Paul Atreides, heir to a noble family tasked with ruling an inhospitable world where the only thing of value is the ""spice"" melange, a drug capable of extending life and enhancing consciousness. Coveted across the known universe, melange is a prize worth killing for...

When House Atreides is betrayed, the destruction of Paul's family will set the boy on a journey toward a destiny greater than he could ever have imagined. And as he evolves into the mysterious man known as Muad'Dib, he will bring to fruition humankind's most ancient and unattainable dream.

A stunning blend of adventure and mysticism, environmentalism and politics, Dune won the first Nebula Award, shared the Hugo Award, and formed the basis of what is undoubtedly the grandest epic in science fiction.",,,,,,,,,,,,
The Invisible Man,Science Fiction,"This book is the story of Griffin, a scientist who creates a serum to render himself invisible, and his descent into madness that follows. L'étranger arriva en février, par une matinée brumeuse, dans un tourbillon de vent et de neige. THE STRANGER CAME early in February, one wintry day, through a biting wind and a driving snow, the last snowfall of the year, over the down, walking from Bramblehurst railway station, and carrying a little black portmanteau in his thickly gloved hand. THE stranger came early in February, one wintry day, through a biting wind and a driving snow, the last snowfall of the year, over the down, walking as it seemed from Bramblehurst railway station, and carrying a little black portmanteau in his thickly gloved hand. The stranger came early in February, one wintry day, through a biting wind and a driving snow, the last snowfall of the year, over the down, walking as it seemed from Bramblehurst railway station, and carrying a little black portmanteau in his thickly gloved hand.",,,,,,,,,,,,
A Princess of Mars,Science Fiction,"I am a very old man; how old I do not know. Possibly I am a hundred, possibly more; but I cannot tell because I have never aged as other men, nor do I remember any childhood. So far as I can recollect I have always been a man, a man of about thirty. I appear today as I did forty years and more ago, and yet I feel that I cannot go on living forever; that some day I shall die the real death from which there is no resurrection.
[Adventures of John Carter in Mars -- from the author of the Tarzan series.]",,,,,,,,,,,,
